Member ID,LEN,Last name,First name,Address 1,Address 2,Address 3,Address 4,Address 5,Dues amount,Membership valid through,Member type,Certification
100011,6,Tsao,Danny,27 Wu Tzu St,Tamshui 251,,Taiwan,,$200,3/25/2021,Professional Member,CLTD
100012,6,Lei,Colleen,88 6th Avenue Teda,300457 TIANJIN,,China,,$500,10/12/2023,Corporate Member,
100013,6,Roth,Nancy,Hoefenstrasse 31,Muehlethal,,Switzerland,4812,$100,1/11/2023,Student Associate,"CSCP, CLTD"
100014,6,Meneses Contreras,Karl-Oscar,Poniente 134 Ste. 740,02300 México,DIF,Mexico,,$500,2/16/2021,Corporate Member,
100015,6,Nunez,Helmut,Andador Pinos 345,45235 Zapopan,JAL,Mexico,,$200,7/29/2023,Professional Member,
100016,6,Fitzpatrick,Dmitry,22 Hemingford Pl,Whitby,ON,Canada,L1R 1G1,$100,12/15/2007,Student Associate,"CSCP, CPIM"
100017,6,Andreu,Leya,Nevada de Colima 104,20280 Aguascalientes,,Mexico,,$200,3/31/2021,Professional Member,
100018,6,Ramsey,Stephen,Z-Block No 59 ,Chennai TN - 600040,,India,,$200,8/21/2021,Professional Member,
100019,6,Xiao-Hui,Michael,Unit B-E F19 XinMei Union Square,200120 Shanghai,,China,,$500,3/30/2021,Corporate Member,"SCOR-P, CLTD, CSCP, PMP"
100020,6,He,Jan,5055 Heather Leigh Avenue,Mississauga,ON,Canada,L5V 2R6,$200,8/13/2021,Professional Member,
100021,6,Wisner,Ray,Chemin 15F,Vernier,,Switzerland,1214,$200,6/2/2022,Professional Member,
100022,6,Denturck,Bill,Hermeslaan 7,1831 DIEGEM,,Belgium,,$100,11/29/2021,Student Associate,
100023,6,Arnout,Marco,Septestraat 27,2640 MORTSEL,,Belgium,,$100,6/30/2021,Student Associate,CLTD
100024,6,Kopp,Victor,P.O. Box,4002 Basel,,Switzerland,,$100,5/18/2023,Student Associate,
100025,6,Villarruel Enriquez,Bep,Pez Austral 3625,45070 Guadalajara,JAL,Mexico,,$200,8/28/2021,Professional Member,
100026,6,Marchant,René,303 - 615 North Road,Coquitlam,BC,Canada,V3J 1P1,$200,6/27/2021,Professional Member,"PMP, CLTD"
100027,6,de Alava Casado,Christophe,Emilio Arrieta 23,Pamplona,,Spain,31002,$500,7/13/2022,Corporate Member,
100028,6,Boaz,Isobel,383 Elgin St,Brantford,ON,Canada,N3S 7P5,$200,3/26/2021,Professional Member,
100029,6,Koshy,Rene,8 Temasek Boulevard #7,Singapore,,Singapore,,$200,4/29/2021,Professional Member,
